timestamps,TP9,AF7,AF8,TP10,Right AUX
1751533672.608,999.512,999.512,-936.035,-1000.000,0.000
1751533672.612,946.777,999.512,-1000.000,-1000.000,0.000
1751533672.616,-327.637,-85.449,-218.750,-129.883,0.000
1751533672.620,-1000.000,-1000.000,999.512,999.512,0.000
1751533672.624,-171.875,-222.168,609.863,367.188,0.000
1751533672.628,999.512,981.445,-768.555,-940.430,0.000
1751533672.632,999.512,999.512,-1000.000,-1000.000,0.000
1751533672.635,-61.035,82.520,-208.496,-246.094,0.000
1751533672.639,-1000.000,-1000.000,999.512,999.512,0.000
1751533672.643,-252.930,-410.645,845.703,588.867,0.000
1751533672.647,966.309,903.320,-467.285,-808.105,0.000
1751533672.651,999.512,999.512,-1000.000,-1000.000,0.000
1751533672.655,132.812,208.008,-267.578,-211.426,0.000
1751533672.659,-1000.000,-1000.000,984.863,999.512,0.000
1751533672.663,-457.520,-616.211,999.512,833.496,0.000
1751533672.667,885.254,778.809,-167.969,-500.977,0.000
1751533672.671,999.512,999.512,-1000.000,-1000.000,0.000
1751533672.674,208.496,193.359,-395.020,-226.562,0.000
1751533672.678,-1000.000,-1000.000,905.273,999.512,0.000
1751533672.682,-681.152,-884.277,999.512,999.512,0.000
1751533672.686,715.332,441.406,25.879,-195.801,0.000
1751533672.690,999.512,999.512,-1000.000,-1000.000,0.000
1751533672.694,171.875,219.727,-635.742,-426.758,0.000
1751533672.698,-1000.000,-1000.000,715.332,888.672,0.000
1751533672.702,-922.852,-1000.000,999.512,999.512,0.000
1751533672.706,377.441,146.484,142.578,18.066,0.000
1751533672.710,999.512,999.512,-1000.000,-1000.000,0.000
1751533672.714,228.027,361.328,-896.484,-664.062,0.000
1751533672.717,-1000.000,-951.660,405.762,693.848,0.000
1751533672.721,-1000.000,-1000.000,999.512,999.512,0.000
1751533672.725,92.773,33.203,148.926,157.227,0.000
1751533672.729,999.512,999.512,-1000.000,-1000.000,0.000
1751533672.733,407.715,502.930,-1000.000,-922.852,0.000
1751533672.737,-914.062,-842.773,114.258,385.254,0.000
1751533672.741,-1000.000,-1000.000,999.512,999.512,0.000
1751533672.745,-73.242,-186.523,174.805,145.020,0.000
1751533672.749,999.512,999.512,-1000.000,-1000.000,0.000
1751533672.753,627.930,814.941,-1000.000,-1000.000,0.000
1751533672.756,-733.887,-526.855,-95.703,88.379,0.000
1751533672.760,-1000.000,-1000.000,999.512,999.512,0.000
1751533672.764,-201.660,-182.129,344.238,146.973,0.000
1751533672.768,999.512,999.512,-948.730,-1000.000,0.000
1751533672.772,896.484,999.512,-1000.000,-1000.000,0.000
1751533672.776,-414.062,-215.332,-216.309,-125.977,0.000
1751533672.780,-1000.000,-1000.000,999.512,999.512,0.000
1751533672.784,-173.828,-166.992,607.422,373.535,0.000
1751533672.788,999.512,995.605,-770.996,-936.523,0.000
1751533672.792,999.512,999.512,-1000.000,-1000.000,0.000
1751533672.796,-107.422,51.270,-211.426,-246.094,0.000
1751533672.799,-1000.000,-1000.000,999.512,999.512,0.000
1751533672.803,-232.422,-368.652,820.312,573.242,0.000
1751533672.807,972.168,918.457,-510.254,-823.730,0.000
1751533672.811,999.512,999.512,-1000.000,-1000.000,0.000
1751533672.815,105.957,221.191,-228.516,-218.750,0.000
1751533672.819,-1000.000,-1000.000,999.512,999.512,0.000
1751533672.823,-419.922,-569.336,985.352,770.020,0.000
1751533672.827,900.879,827.148,-225.586,-591.797,0.000
1751533672.831,999.512,999.512,-1000.000,-1000.000,0.000
1751533672.835,217.773,201.660,-385.742,-240.234,0.000
1751533672.838,-1000.000,-1000.000,912.109,999.512,0.000
