timestamps,X,Y,Z
1751533932.557,0.191,0.031,-0.997
1751533932.616,0.191,0.029,-1.000
1751533932.616,0.189,0.029,-1.004
1751533932.616,0.191,0.029,-1.001
1751533932.674,0.189,0.033,-1.000
1751533932.674,0.188,0.033,-1.001
1751533932.674,0.188,0.034,-0.999
1751533932.735,0.191,0.031,-1.000
1751533932.735,0.192,0.029,-1.004
1751533932.735,0.192,0.030,-1.005
1751533932.783,0.189,0.034,-0.999
1751533932.783,0.189,0.034,-1.004
1751533932.783,0.188,0.031,-1.001
1751533932.839,0.190,0.032,-1.001
1751533932.839,0.191,0.029,-1.004
1751533932.839,0.190,0.030,-0.997
1751533932.901,0.189,0.035,-0.998
1751533932.901,0.192,0.033,-1.000
1751533932.901,0.192,0.028,-0.999
1751533932.961,0.190,0.032,-0.999
1751533932.961,0.190,0.030,-0.998
1751533932.961,0.190,0.033,-1.000
1751533933.024,0.191,0.031,-0.997
1751533933.024,0.189,0.026,-1.003
1751533933.024,0.186,0.031,-1.003
1751533933.070,0.190,0.032,-1.001
1751533933.070,0.191,0.032,-1.001
1751533933.070,0.192,0.031,-1.002
1751533933.139,0.188,0.030,-1.001
1751533933.139,0.191,0.034,-1.000
1751533933.139,0.190,0.030,-1.001
1751533933.185,0.191,0.028,-0.998
1751533933.185,0.192,0.032,-1.001
1751533933.185,0.195,0.030,-1.002
1751533933.246,0.191,0.030,-1.001
1751533933.246,0.192,0.035,-0.998
1751533933.246,0.188,0.033,-0.999
1751533933.308,0.189,0.031,-0.999
1751533933.308,0.193,0.032,-1.002
1751533933.308,0.190,0.027,-0.999
1751533933.366,0.189,0.032,-1.001
1751533933.366,0.191,0.034,-1.001
1751533933.366,0.192,0.030,-1.000
1751533933.424,0.192,0.029,-1.001
1751533933.424,0.192,0.033,-1.002
1751533933.424,0.187,0.029,-1.005
1751533933.469,0.189,0.026,-1.003
1751533933.469,0.191,0.032,-1.002
1751533933.469,0.188,0.035,-1.002
1751533933.535,0.190,0.031,-1.001
1751533933.535,0.190,0.031,-0.999
1751533933.535,0.189,0.031,-1.000
1751533933.592,0.190,0.034,-1.003
1751533933.592,0.191,0.030,-1.007
1751533933.592,0.191,0.032,-1.002
1751533933.652,0.191,0.032,-1.001
1751533933.652,0.187,0.032,-1.002
1751533933.652,0.187,0.033,-0.999
1751533933.712,0.187,0.028,-1.001
1751533933.712,0.189,0.031,-0.998
1751533933.712,0.189,0.030,-0.999
1751533933.770,0.187,0.034,-1.001
1751533933.770,0.191,0.033,-1.005
1751533933.770,0.189,0.029,-1.004
1751533933.818,0.188,0.031,-1.005
1751533933.818,0.189,0.032,-1.001
1751533933.818,0.188,0.030,-1.004
1751533933.874,0.189,0.029,-1.001
1751533933.874,0.192,0.028,-1.000
1751533933.874,0.191,0.029,-1.001
1751533933.934,0.190,0.030,-1.001
1751533933.934,0.189,0.032,-0.999
1751533933.934,0.189,0.032,-1.001
1751533933.993,0.187,0.030,-1.000
1751533933.993,0.187,0.030,-1.002
1751533933.993,0.193,0.031,-1.002
1751533934.068,0.188,0.030,-0.999
1751533934.068,0.190,0.029,-1.003
1751533934.068,0.188,0.033,-0.999
1751533934.102,0.189,0.031,-1.002
1751533934.102,0.189,0.032,-1.000
1751533934.102,0.190,0.030,-1.000
1751533934.160,0.192,0.034,-1.004
1751533934.160,0.188,0.034,-1.000
1751533934.160,0.186,0.032,-1.000
1751533934.219,0.190,0.033,-1.001
1751533934.219,0.189,0.029,-1.000
1751533934.219,0.191,0.036,-0.998
