timestamps,X,Y,Z
1751533950.034,-0.112,1.279,0.359
1751533950.091,-0.322,1.293,0.359
1751533950.091,-0.239,1.323,0.381
1751533950.091,-0.307,1.316,0.441
1751533950.151,-0.284,1.293,0.396
1751533950.151,-0.336,1.293,0.411
1751533950.151,-0.336,1.376,0.374
1751533950.196,-0.307,1.286,0.374
1751533950.196,-0.307,1.293,0.396
1751533950.196,-0.322,1.301,0.441
1751533950.255,-0.254,1.353,0.396
1751533950.255,-0.262,1.316,0.404
1751533950.255,-0.314,1.391,0.419
1751533950.316,-0.277,1.316,0.411
1751533950.316,-0.314,1.331,0.336
1751533950.316,-0.314,1.316,0.389
1751533950.375,-0.299,1.279,0.389
1751533950.375,-0.232,1.368,0.374
1751533950.375,-0.366,1.308,0.344
1751533950.449,-0.277,1.368,0.351
1751533950.449,-0.247,1.383,0.366
1751533950.449,-0.299,1.338,0.366
1751533950.494,-0.344,1.353,0.366
1751533950.494,-0.284,1.368,0.366
1751533950.494,-0.247,1.293,0.336
1751533950.556,-0.269,1.346,0.381
1751533950.556,-0.269,1.331,0.374
1751533950.556,-0.224,1.338,0.359
1751533950.602,-0.277,1.346,0.351
1751533950.602,-0.262,1.271,0.411
1751533950.602,-0.262,1.316,0.389
1751533950.660,-0.172,1.346,0.381
1751533950.660,-0.202,1.428,0.336
1751533950.660,-0.254,1.428,0.396
1751533950.721,-0.269,1.316,0.404
1751533950.721,-0.232,1.376,0.381
1751533950.721,-0.262,1.383,0.396
1751533950.779,-0.307,1.391,0.389
1751533950.779,-0.232,1.323,0.322
1751533950.779,-0.254,1.391,0.374
1751533950.828,-0.247,1.398,0.366
1751533950.828,-0.224,1.331,0.359
1751533950.828,-0.209,1.256,0.419
1751533950.885,-0.209,1.323,0.404
1751533950.885,-0.292,1.398,0.396
1751533950.885,-0.239,1.353,0.374
1751533950.942,-0.232,1.346,0.411
1751533950.942,-0.269,1.338,0.351
1751533950.942,-0.359,1.293,0.336
1751533951.005,-0.277,1.256,0.366
1751533951.005,-0.277,1.241,0.396
1751533951.005,-0.322,1.256,0.404
1751533951.067,-0.292,1.279,0.381
1751533951.067,-0.292,1.346,0.366
1751533951.067,-0.277,1.308,0.366
1751533951.126,-0.232,1.323,0.322
1751533951.126,-0.269,1.331,0.389
1751533951.126,-0.254,1.346,0.389
1751533951.170,-0.277,1.301,0.396
1751533951.170,-0.307,1.346,0.366
